id	url	name	species	revision	steatosis	cholestasis	crystallopathy	tub.necrosis	cfd	ntc
WP5352	https://www.wikipathways.org/instance/WP5352	10q11.21q11.23 copy number variation syndrome	Homo sapiens	2024-02-22	0	0	0	0	1	0
WP5402	https://www.wikipathways.org/instance/WP5402	10q22q23 copy number variation	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP5348	https://www.wikipathways.org/instance/WP5348	11p11.2 copy number variation syndrome	Homo sapiens	2024-07-22	0	0	0	0	1	0
WP5405	https://www.wikipathways.org/instance/WP5405	13q12 or CRYL1 copy number variation	Homo sapiens	2024-07-22	0	0	0	0	0	0
WP5406	https://www.wikipathways.org/instance/WP5406	13q12.12 copy number variation	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP4940	https://www.wikipathways.org/instance/WP4940	15q11.2 copy number variation syndrome	Homo sapiens	2024-07-24	0	0	0	0	1	0
WP5407	https://www.wikipathways.org/instance/WP5407	15q11q13 copy number variation	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP4942	https://www.wikipathways.org/instance/WP4942	15q13.3 copy number variation syndrome	Homo sapiens	2024-07-24	0	0	0	0	1	0
WP5408	https://www.wikipathways.org/instance/WP5408	15q25 copy number variation	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP4950	https://www.wikipathways.org/instance/WP4950	16p11.2 distal deletion syndrome	Homo sapiens	2024-02-05	0	0	0	0	1	0
WP4949	https://www.wikipathways.org/instance/WP4949	16p11.2 proximal deletion syndrome	Homo sapiens	2024-07-27	0	0	0	0	1	0
WP5376	https://www.wikipathways.org/instance/WP5376	17p13.3 (YWHAE) copy number variation	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP5287	https://www.wikipathways.org/instance/WP5287	17q12 copy number variation syndrome	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP5345	https://www.wikipathways.org/instance/WP5345	1p36 copy number variation syndrome	Homo sapiens	2024-07-22	0	0	0	0	1	0
WP4905	https://www.wikipathways.org/instance/WP4905	1q21.1 copy number variation syndrome	Homo sapiens	2024-07-24	0	0	0	0	1	0
WP4657	https://www.wikipathways.org/instance/WP4657	22q11.2 copy number variation syndrome	Homo sapiens	2024-02-22	0	0	0	0	1	0
WP5221	https://www.wikipathways.org/instance/WP5221	2q11.2 copy number variation syndrome	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP5222	https://www.wikipathways.org/instance/WP5222	2q13 copy number variation syndrome	Homo sapiens	2024-07-24	0	0	0	0	1	0
